date,0-4,5-11,12-17,18-29,30-39,40-49,50-59,60-69,70+
2021-01-30,69,160,194,328,405,479,437,437,294
2021-02-13,44,104,106,216,274,334,294,294,214
2021-02-27,16,38,68,115,139,156,139,139,101
2021-03-13,14,33,42,63,69,86,75,75,50
2021-03-27,16,38,28,39,57,71,49,49,42
2021-04-10,11,27,38,27,40,53,46,46,27
2021-04-24,5,12,22,21,22,26,17,17,10
2021-05-08,2,5,11,18,15,15,18,18,5
2021-05-22,5,11,15,21,15,17,8,8,13
2021-06-05,4,10,31,28,27,33,25,25,22
2021-06-19,5,12,33,62,36,25,29,29,22
2021-07-03,19,44,78,147,70,56,45,45,36
2021-07-17,41,95,174,276,185,181,137,137,72
2021-07-31,51,118,248,240,189,204,167,167,122
2021-08-14,56,130,198,247,172,179,169,169,107
2021-08-28,46,108,187,231,170,199,210,210,155
2021-09-11,52,121,226,169,148,191,201,201,192
2021-09-25,88,206,301,107,122,164,173,173,136
2021-10-09,109,255,530,86,168,257,202,202,185
2021-10-23,137,321,610,90,214,334,274,274,232
2021-11-06,128,300,437,112,228,361,302,302,253
2021-11-20,110,258,293,116,216,313,321,321,170
2021-12-04,131,307,255,123,247,361,271,271,109
