date,0-4,5-11,12-17,18-29,30-39,40-49,50-59,60-69,70+
2021-01-30,3456,8065,9920,15387,18763,21697,26838,26838,30132
2021-02-13,3743,8735,10621,16492,19654,22788,28457,28457,31094
2021-02-27,3542,8266,10154,15632,18964,22033,27498,27498,30120
2021-03-13,3457,8067,9737,15094,18284,21359,27080,27080,30178
2021-03-27,3068,7159,8606,13473,16742,19593,25032,25032,27722
2021-04-10,2982,6959,8317,12690,15846,18663,24291,24291,27709
2021-04-24,2798,6528,8077,12347,15407,18255,23850,23850,27510
2021-05-08,3008,7019,8450,12857,16030,19137,24860,24860,28961
2021-05-22,2742,6397,8066,12335,15538,18453,23755,23755,27372
2021-06-05,2512,5861,7495,11468,14300,16961,23008,23008,27497
2021-06-19,2742,6398,8186,12023,15410,18613,23907,23907,27988
2021-07-03,2606,6081,7538,11225,14542,17546,22692,22692,26516
2021-07-17,2745,6405,8306,11838,15483,18840,24555,24555,28692
2021-07-31,2485,5797,7210,11043,14452,17248,23880,23880,27933
2021-08-14,2386,5567,7408,11127,14566,17448,24635,24635,29418
2021-08-28,2476,5777,7397,10984,14083,16895,24000,24000,27672
2021-09-11,2674,6240,8270,11225,15252,18641,25154,25154,30260
2021-09-25,3183,7426,9111,11771,15943,19829,25392,25392,29277
2021-10-09,2954,6894,8852,11425,16260,20057,26805,26805,31817
2021-10-23,3088,7204,9207,11738,16351,20168,26703,26703,30831
2021-11-06,2903,6774,8413,11512,16268,19989,27188,27188,32529
2021-11-20,2960,6906,9264,11651,16223,20029,27458,27458,31962
2021-12-04,2824,6590,8489,10541,14977,18742,25185,25185,30191
