date,age,cases
2022-01-01,00_04,1953
2022-01-01,05_09,3632
2022-01-01,10_14,4609
2022-01-01,15_19,5936
2022-01-01,20_24,9045
2022-01-01,25_29,10546
2022-01-01,30_34,10403
2022-01-01,35_39,9133
2022-01-01,40_44,7863
2022-01-01,45_49,7023
2022-01-01,50_54,7480
2022-01-01,55_59,6469
2022-01-01,60_64,4941
2022-01-01,65_69,2951
2022-01-01,70_74,2438
2022-01-01,75_79,1653
2022-01-01,80_84,993
2022-01-01,85_89,604
2022-01-01,90+,368
2022-01-02,00_04,2820
2022-01-02,05_09,5763
2022-01-02,10_14,7374
2022-01-02,15_19,10325
2022-01-02,20_24,15266
2022-01-02,25_29,16401
2022-01-02,30_34,15639
2022-01-02,35_39,13444
2022-01-02,40_44,11869
2022-01-02,45_49,10416
2022-01-02,50_54,10829
2022-01-02,55_59,9142
2022-01-02,60_64,6401
2022-01-02,65_69,4038
2022-01-02,70_74,2986
2022-01-02,75_79,2040
2022-01-02,80_84,1267
2022-01-02,85_89,783
2022-01-02,90+,545
2022-01-03,00_04,3656
2022-01-03,05_09,7684
2022-01-03,10_14,9947
2022-01-03,15_19,13815
2022-01-03,20_24,20416
2022-01-03,25_29,21859
2022-01-03,30_34,19871
2022-01-03,35_39,17215
2022-01-03,40_44,15196
2022-01-03,45_49,13450
2022-01-03,50_54,13668
2022-01-03,55_59,11670
2022-01-03,60_64,8147
2022-01-03,65_69,4943
2022-01-03,70_74,3789
2022-01-03,75_79,2590
2022-01-03,80_84,1639
2022-01-03,85_89,1135
2022-01-03,90+,911
2022-01-04,00_04,4103
2022-01-04,05_09,8962
2022-01-04,10_14,13348
2022-01-04,15_19,19028
2022-01-04,20_24,25261
2022-01-04,25_29,26426
2022-01-04,30_34,23638
2022-01-04,35_39,19802
2022-01-04,40_44,17329
2022-01-04,45_49,15846
2022-01-04,50_54,16676
2022-01-04,55_59,14060
2022-01-04,60_64,9943
2022-01-04,65_69,6013
2022-01-04,70_74,4537
2022-01-04,75_79,3246
2022-01-04,80_84,1975
2022-01-04,85_89,1358
2022-01-04,90+,1050
2022-01-05,00_04,3655
2022-01-05,05_09,8566
2022-01-05,10_14,13775
2022-01-05,15_19,16120
2022-01-05,20_24,19339
2022-01-05,25_29,19601
2022-01-05,30_34,17560
2022-01-05,35_39,14951
2022-01-05,40_44,13154
2022-01-05,45_49,11728
2022-01-05,50_54,12127
2022-01-05,55_59,10280
2022-01-05,60_64,7384
2022-01-05,65_69,4433
2022-01-05,70_74,3435
2022-01-05,75_79,2421
2022-01-05,80_84,1517
2022-01-05,85_89,1023
2022-01-05,90+,794
2022-01-06,00_04,3409
2022-01-06,05_09,7659
2022-01-06,10_14,11243
2022-01-06,15_19,12319
2022-01-06,20_24,15310
2022-01-06,25_29,15760
2022-01-06,30_34,14421
2022-01-06,35_39,12765
2022-01-06,40_44,11029
2022-01-06,45_49,9473
2022-01-06,50_54,9909
2022-01-06,55_59,8481
2022-01-06,60_64,5991
2022-01-06,65_69,3731
2022-01-06,70_74,2931
2022-01-06,75_79,1971
2022-01-06,80_84,1243
2022-01-06,85_89,823
2022-01-06,90+,675
2022-01-07,00_04,2763
2022-01-07,05_09,5760
2022-01-07,10_14,7071
2022-01-07,15_19,7746
2022-01-07,20_24,9762
2022-01-07,25_29,10364
2022-01-07,30_34,10087
2022-01-07,35_39,8864
2022-01-07,40_44,7643
2022-01-07,45_49,6859
2022-01-07,50_54,7112
2022-01-07,55_59,6135
2022-01-07,60_64,4441
2022-01-07,65_69,2887
2022-01-07,70_74,2214
2022-01-07,75_79,1615
2022-01-07,80_84,1042
2022-01-07,85_89,752
2022-01-07,90+,636
2022-01-08,00_04,2742
2022-01-08,05_09,5821
2022-01-08,10_14,5507
2022-01-08,15_19,5701
2022-01-08,20_24,6971
2022-01-08,25_29,7537
2022-01-08,30_34,7656
2022-01-08,35_39,6843
2022-01-08,40_44,6067
2022-01-08,45_49,5210
2022-01-08,50_54,5483
2022-01-08,55_59,4675
2022-01-08,60_64,3408
2022-01-08,65_69,2111
2022-01-08,70_74,1687
2022-01-08,75_79,1197
2022-01-08,80_84,761
2022-01-08,85_89,480
2022-01-08,90+,397
2022-01-09,00_04,3080
2022-01-09,05_09,7256
2022-01-09,10_14,7139
2022-01-09,15_19,5944
2022-01-09,20_24,6372
2022-01-09,25_29,7055
2022-01-09,30_34,7674
2022-01-09,35_39,7028
2022-01-09,40_44,6205
2022-01-09,45_49,5266
2022-01-09,50_54,5326
2022-01-09,55_59,4523
2022-01-09,60_64,3244
2022-01-09,65_69,2012
2022-01-09,70_74,1445
2022-01-09,75_79,1070
2022-01-09,80_84,687
2022-01-09,85_89,470
2022-01-09,90+,430
2022-01-10,00_04,4426
2022-01-10,05_09,11320
2022-01-10,10_14,9979
2022-01-10,15_19,7972
2022-01-10,20_24,8395
2022-01-10,25_29,9947
2022-01-10,30_34,10681
2022-01-10,35_39,9919
2022-01-10,40_44,8706
2022-01-10,45_49,7035
2022-01-10,50_54,7002
2022-01-10,55_59,6114
2022-01-10,60_64,4404
2022-01-10,65_69,2610
2022-01-10,70_74,2048
2022-01-10,75_79,1555
2022-01-10,80_84,1116
2022-01-10,85_89,922
2022-01-10,90+,906
2022-01-11,00_04,4129
2022-01-11,05_09,10200
2022-01-11,10_14,9208
2022-01-11,15_19,6548
2022-01-11,20_24,7097
2022-01-11,25_29,8605
2022-01-11,30_34,9566
2022-01-11,35_39,9038
2022-01-11,40_44,7672
2022-01-11,45_49,6053
2022-01-11,50_54,5884
2022-01-11,55_59,4856
2022-01-11,60_64,3577
2022-01-11,65_69,2140
2022-01-11,70_74,1717
2022-01-11,75_79,1305
2022-01-11,80_84,984
2022-01-11,85_89,747
2022-01-11,90+,740
2022-01-12,00_04,3510
2022-01-12,05_09,8597
2022-01-12,10_14,8156
2022-01-12,15_19,5615
